code;Age;Sexe;Problemes de sante;Le travail a la maison;préscolaire;Travail;interne / externe;Qualification de la mere;Qualification Du pere;Profession de la mere;Profession du pere;Divorce;Mort;aide aux devoirs;Specialte;Nombre de repitition;SP;SC;SA;SM;SLA;SPL;Secteur;Zone;Nombre d'enseignants;Electricite;Eau;PC;Livres;Etat civil;Motivation;Style d'apprentissage;????? | ????? ??????|???|
1;19/01/2010;F;Oui;Oui;Non;Non;Interne;Non;Oui;Sans Profession;Fqih;Non;Non;Non;College;0;8,75 €;16,41 €;16,41 €;17, €;16, €;15,34 €;Public;Rurale;21;Oui;Oui;Non;Oui;Celibataire;Oui;Normal;?????
2;19/11/2004;M;Non;Non;Non;Non;Externe;Non;Non;Sans Profession;Agriculture;Non;Non;Oui;College;2;6,45 €;4,75 €;4,75 €;5, €;7, €;6, €;Public;Rurale;21;Oui;Oui;Non;Oui;Celibataire;Non;Normal;?????
3;09/01/2008;M;Non;Non;Non;Non;Externe;Non;Non;Sans Profession;Agriculture;Non;Non;Non;College;2;6,3 €;8,8 €;0, €;0, €;0, €;0, €;Public;Rurale;21;Oui;Oui;Non;Oui;Celibataire;Non;Normal;?????
4;22/11/2008;M;Non;Non;Non;Non;Externe;Non;Non;Sans Profession;Agriculture;Non;Non;Non;College;1;5,23 €;2,71 €;0, €;0, €;0, €;0, €;Public;Rurale;21;Oui;Oui;Non;Oui;Celibataire;Non;Normal;?????
5;24/01/2007;M;Non;Non;Non;Non;Externe;Non;Non;Sans Profession;Agriculture;Non;Non;Non;College;1;6,33 €;8,19 €;0, €;0, €;0, €;0, €;Public;Rurale;21;Oui;Oui;Non;Oui;Celibataire;Non;Normal;?????
6;15/08/2008;M;Non;Non;Non;Non;Externe;Non;Non;Sans Profession;Commerce;Non;Non;Non;College;1;5,54 €;6,65 €;0, €;0, €;0, €;0, €;Public;Rurale;21;Oui;Oui;Non;Oui;Celibataire;Non;Normal;?????
7;08/06/2008;M;Non;Non;Non;Non;Externe;Non;Non;Sans Profession;Agriculture;Non;Non;Non;College;1;6,03 €;6,5 €;6,5 €;0, €;6,44 €;7,3 €;Public;Rurale;21;Oui;Oui;Non;Oui;Celibataire;Non;Normal;?????
8;15/11/2005;F;Oui;Oui;Non;Non;Externe;Non;Non;Sans Profession;Agriculture;Non;Non;Non;College;2;5,95 €;6,31 €;6,31 €;5,33 €;4,75 €;4,72 €;Public;Rurale;21;Oui;Oui;Non;Oui;Celibataire;Oui;Normal;?????
9;09/12/2008;M;Non;Non;Non;Non;Interne;Non;Non;Sans Profession;Agriculture;Non;Non;Non;College;1;6,21 €;7,02 €;7,02 €;6,83 €;7,06 €;4,1 €;Public;Rurale;21;Oui;Oui;Non;Oui;Celibataire;Non;Normal;?????
10;16/07/2009;M;Non;Non;Non;Non;Externe;Non;Non;Sans Profession;Agriculture;Non;Non;Non;College;1;5,22 €;7,9 €;7,9 €;3,67 €;9,12 €;5,7 €;Public;Rurale;21;Oui;Oui;Non;Oui;Celibataire;Non;Normal;?????
11;18/05/2007;M;Non;Non;Non;Non;Externe;Non;Non;Sans Profession;Agriculture;Non;Non;Non;College;3;7,1 €;6,42 €;6,42 €;8,67 €;2,5 €;2,6 €;Public;Rurale;21;Oui;Oui;Non;Oui;Celibataire;Non;Normal;?????
12;05/01/2005;M;Non;Non;Non;Non;Externe;Non;Non;Sans Profession;Agriculture;Non;Non;Non;College;2;6,16 €;9,14 €;9,14 €;6,33 €;9,13 €;8,7 €;Public;Rurale;21;Oui;Oui;Non;Oui;Celibataire;Oui;Normal;?????
13;01/08/2005;M;Non;Non;Non;Non;Externe;Non;Non;Sans Profession;Agriculture;Non;Non;Non;College;1;5,85 €;9,67 €;9,67 €;10,67 €;8,66 €;9,6 €;Public;Rurale;21;Oui;Oui;Non;Oui;Celibataire;Non;Normal;?????
14;18/03/2007;M;Non;Non;Non;Non;Externe;Non;Non;Sans Profession;Agriculture;Non;Non;Non;College;2;7,32 €;9,4 €;9,4 €;8,67 €;8,84 €;8,9 €;Public;Rurale;21;Oui;Oui;Non;Oui;Celibataire;Non;Normal;?????
15;22/01/2010;F;Non;Non;Non;Non;Externe;Non;Non;Sans Profession;Agriculture;Non;Non;Non;College;1;5,86 €;9,3 €;9,3 €;9,33 €;9,75 €;7,95 €;Public;Rurale;21;Oui;Oui;Non;Oui;Celibataire;Oui;Normal;?????
16;24/03/2009;F;Non;Oui;Non;Non;Externe;Non;Non;Sans Profession;Agriculture;Non;Non;Non;College;1;6,46 €;9,67 €;9,67 €;7, €;10,41 €;5,1 €;Public;Rurale;21;Oui;Oui;Non;Oui;Celibataire;Non;Normal;?????
17;05/12/2007;M;Non;Non;Non;Non;Externe;Non;Non;Sans Profession;Agriculture;Non;Non;Non;College;1;6,41 €;9,9 €;9,9 €;10,67 €;10, €;11,4 €;Public;Rurale;21;Oui;Oui;Non;Oui;Celibataire;Non;Normal;?????
18;21/01/2008;M;Non;Non;Non;Non;Externe;Non;Non;Sans Profession;Agriculture;Non;Non;Non;College;1;7,53 €;7,42 €;7,42 €;5,67 €;10,69 €;5,9 €;Public;Rurale;21;Oui;Oui;Non;Oui;Celibataire;Non;Normal;?????
19;26/07/2007;F;Non;Non;Non;Non;Interne;Non;Non;Sans Profession;Agriculture;Non;Non;Non;College;0;6,43 €;8,78 €;8,78 €;11,67 €;8,06 €;10,25 €;Public;Rurale;21;Oui;Oui;Non;Oui;Celibataire;Non;Normal;?????
20;23/11/2007;M;Non;Non;Non;Non;Externe;Non;Non;Sans Profession;Agriculture;Non;Non;Non;College;0;8,05 €;8,72 €;8,72 €;8,67 €;10, €;9,7 €;Public;Rurale;21;Oui;Oui;Non;Oui;Celibataire;Non;Normal;?????
21;30/12/2008;F;Non;Oui;Non;Non;Externe;Non;Non;Sans Profession;Agriculture;Non;Non;Non;College;0;6,75 €;9,08 €;9,08 €;11, €;10, €;9,6 €;Public;Rurale;21;Oui;Oui;Non;Oui;Celibataire;Non;Normal;?????
22;21/04/2008;F;Non;Non;Non;Non;Externe;Non;Non;Sans Profession;Agriculture;Non;Non;Non;College;0;6,57 €;8,49 €;8,49 €;6, €;8,44 €;9,2 €;Public;Rurale;21;Oui;Oui;Non;Oui;Celibataire;Non;Normal;?????
23;10/11/2008;M;Non;Non;Non;Non;Interne;Non;Non;Sans Profession;Agriculture;Non;Non;Non;College;0;7,09 €;9,56 €;9,56 €;11,33 €;9,19 €;10,1 €;Public;Rurale;21;Oui;Oui;Non;Oui;Celibataire;Non;Normal;?????
24;22/05/2007;F;Non;Oui;Non;Non;Extrene;Non;Non;Sans Profession;Agriculture;Non;Non;Non;College;0;8,03 €;9,74 €;9,74 €;9,5 €;10,38 €;11,2 €;Public;Rurale;21;Oui;Oui;Non;Oui;Celibataire;Non;Normal;?????
25;27/09/2008;M;Non;Non;Non;Non;Extrene;Non;Non;Sans Profession;Agriculture;Non;Non;Non;College;0;7,27 €;9,84 €;9,84 €;8,67 €;10,12 €;11,8 €;Public;Rurale;21;Oui;Oui;Non;Oui;Celibataire;Non;Normal;?????
26;12/03/2006;M;Non;Non;Non;Non;Extrene;Non;Non;Sans Profession;Agriculture;Non;Non;Non;College;1;7,21 €;9,33 €;9,33 €;8,33 €;8,62 €;11,4 €;Public;Rurale;21;Oui;Oui;Non;Oui;Celibataire;Non;Normal;?????
27;18/11/2005;M;Non;Non;Non;Non;Extrene;Non;Non;Sans Profession;Agriculture;Non;Non;Non;College;1;5,56 €;8,7 €;8,7 €;6,33 €;10,5 €;9,3 €;Public;Rurale;21;Oui;Oui;Non;Oui;Celibataire;Non;Normal;?????
28;16/02/2007;M;Non;Non;Non;Non;Extrene;Non;Non;Sans Profession;Agriculture;Non;Non;Non;College;1;6,63 €;8,69 €;8,69 €;9,75 €;7, €;5, €;Public;Rurale;21;Oui;Oui;Non;Oui;Celibataire;Non;Normal;?????
29;29/11/2005;M;Non;Non;Non;Non;Interne;Non;Non;Sans Profession;Agriculture;Non;Non;Non;College;1;6,91 €;9,72 €;9,72 €;10,83 €;9,53 €;10,2 €;Public;Rurale;21;Oui;Oui;Non;Oui;Celibataire;Non;Normal;?????
30;22/09/2004;M;Non;Non;Non;Non;Externe;Non;Non;Sans Profession;Agriculture;Non;Non;Non;College;1;5,43 €;9,51 €;9,51 €;8, €;11,09 €;10,6 €;Public;Rurale;21;Oui;Oui;Non;Oui;Celibataire;Non;Normal;?????
31;29/04/2006;M;Non;Non;Non;Non;Externe;Non;Non;Sans Profession;Agriculture;Non;Non;Non;College;0;6,98 €;8,8 €;8,8 €;7,67 €;7,5 €;8,3 €;Public;Rurale;21;Oui;Oui;Non;Oui;Celibataire;Non;Normal;?????
32;02/11/2004;M;Non;Non;Non;Non;Externe;Non;Non;Sans Profession;Agriculture;Non;Non;Non;College;0;7,32 €;9,96 €;9,96 €;7,33 €;10,44 €;11,4 €;Public;Rurale;21;Oui;Oui;Non;Oui;Celibataire;Non;Normal;?????
33;18/03/2007;M;Non;Non;Non;Non;Externe;Non;Non;Sans Profession;Agriculture;Non;Non;Non;College;0;6,72 €;8,07 €;8,07 €;8,17 €;7,53 €;7,9 €;Public;Rurale;21;Oui;Oui;Non;Oui;Celibataire;Non;Normal;?????
34;20/03/2008;M;Non;Non;Non;Non;Externe;Non;Non;Sans Profession;Agriculture;Non;Non;Non;College;0;6,91 €;8,56 €;8,56 €;7,83 €;9,75 €;10,6 €;Public;Rurale;21;Oui;Oui;Non;Oui;Celibataire;Non;Normal;?????
35;17/10/2006;F;Non;Non;Non;Non;Externe;Non;Non;Sans Profession;Agriculture;Non;Non;Non;College;0;5,47 €;9,05 €;9,05 €;8,17 €;9,81 €;11,3 €;Public;Rurale;21;Oui;Oui;Non;Oui;Celibataire;Non;Normal;?????
36;06/09/2006;F;Non;Non;Non;Non;Externe;Non;Non;Sans Profession;Agriculture;Non;Non;Non;College;0;5,42 €;8,85 €;5,85 €;6,67 €;10,88 €;9,7 €;Public;Rurale;21;Oui;Oui;Non;Oui;Celibataire;Non;Normal;?????
37;23/06/2005;M;Non;Non;Non;Non;Externe;Non;Non;Sans Profession;Décédé;Non;Oui;Non;College;0;9,41 €;9,41 €;8, €;10, €;9,5 €;7,25 €;Public;Rurale;21;Oui;Oui;Non;Oui;Celibataire;Non;Normal;?????
38;25/07/2005;F;Non;Non;Non;Non;Externe;Non;Non;Sans Profession;Agriculture;Non;Non;Non;College;0;6,5 €;9,87 €;9,87 €;7,67 €;10,12 €;10,2 €;Public;Rurale;21;Oui;Oui;Non;Oui;Celibataire;Non;Normal;?????
39;02/05/2007;M;Non;Non;Non;Non;Externe;Non;Non;Sans Profession;Agriculture;Non;Non;Non;College;0;5,88 €;9,98 €;8,98 €;7,67 €;7,69 €;8,8 €;Public;Rurale;21;Oui;Oui;Non;Oui;Celibataire;Non;Normal;?????
40;17/01/2006;M;Non;Non;Non;Non;Externe;Non;Non;Sans Profession;Agriculture;Non;Non;Non;College;0;5,77 €;8,8 €;8,8 €;8,33 €;8,25 €;8, €;Public;Rurale;21;Oui;Oui;Non;Oui;Celibataire;Non;Normal;?????
